Yorum_ID,Otel_Adi,Yorum_Tarihi,Puan,Oda_Tipi,Yorum_Metni
1,Şirince Kirke Otel,2025-10-15,5,Cumba Oda,"Hayatımın en huzurlu tatiliydi. Odanın manzarası ve temizliği 10/10."
2,Güllü Konak,2025-10-14,4,Standart Oda,"Çok otantik bir konak. Kahvaltısı harikaydı, sadece akşamları biraz gürültülü olabiliyor."
3,Eski Ev Pansiyon,2025-10-14,3,Ekonomi Oda,"Konumu harika, tam köyün merkezinde. Odalar biraz eski ama bu fiyata normal."
4,Şirince Kirke Otel,2025-10-13,5,Taş Oda,"Personelin ilgisi ve güler yüzü inanılmaz. Kendimizi evimizde hissettik."
5,Güllü Konak,2025-10-12,3,Standart Oda,"Oda temizdi ama çok küçüktü. Beklentimizi tam karşılamadı."
6,Eski Ev Pansiyon,2025-10-11,2,Ekonomi Oda,"Banyo temizliği daha iyi olabilirdi. Sadece uyumak için kullandık."
7,Şirince Kirke Otel,2025-10-10,5,Cumba Oda,"Köyün en iyi oteli olabilir. Sabahları kuş sesleriyle uyanmak paha biçilmez."
8,Güllü Konak,2025-10-09,4,Aile Odası,"Ailece rahat ettik. Avlusu çok keyfliydi."
9,Eski Ev Pansiyon,2025-10-08,3,Ekonomi Oda,"Sıcak su sorunu yaşadık ama yardımcı oldular. Rustik bir deneyim."
10,Şirince Kirke Otel,2025-10-07,5,Taş Oda,"Kahvaltıdaki her şey ev yapımı ve lezzetliydi. Kesinlikle tekrar geleceğiz."
11,Güllü Konak,2025-10-06,5,Aile Odası,"Beklediğimizden çok daha iyiydi. Özellikle bahçesi çok güzel."
12,Eski Ev Pansiyon,2025-10-05,2,Ekonomi Oda,"Konumu dışında pek bir artısı yok maalesef."
13,Markiz Konakları,2025-10-15,4,Suit Oda,"Manzarası müthişti. Akşam yemeği için de tavsiye ederim."
14,Nikbin Konak,2025-10-14,3,Standart Oda,"Sahipleri çok tatlı insanlar ama odaların biraz bakıma ihtiyacı var."
15,Şirince Kirke Otel,2025-10-14,5,Taş Oda,"Detaylara gösterilen özen hayranlık verici. Herkese tavsiye ederim."
16,Markiz Konakları,2025-10-13,2,Standart Oda,"Otopark sorunu yaşadık ve odamız beklediğimiz kadar temiz değildi."
17,Nikbin Konak,2025-10-12,4,Standart Oda,"Sakin ve huzurlu bir yer. Tam bir kafa dinleme mekanı."
18,Eski Ev Pansiyon,2025-10-12,4,Aile Odası,"Fiyat performans olarak köydeki en iyi seçeneklerden biri."
19,Güllü Konak,2025-10-11,3,Standart Oda,"Kahvaltı güzel ama odalar çok ses alıyor."
20,Markiz Konakları,2025-10-10,5,Suit Oda,"Özel günler için harika bir tercih. Romantik ve şık."
21,Şirince Kirke Otel,2025-10-09,4,Standart Oda,"Standart odası bile birçok otelin suit odasından daha iyi."
22,Nikbin Konak,2025-10-08,3,Ekonomi Oda,"Sadece bir gece kaldık, beklentimiz yüksek değildi. İdare eder."
23,Markiz Konakları,2025-10-07,3,Standart Oda,"Manzara var ama hizmet biraz yavaştı."
24,Güllü Konak,2025-10-07,4,Standart Oda,"Tarihi dokusu çok güzel korunmuş, tavsiye ederim."
25,Nikbin Konak,2025-10-06,4,Aile Odası,"Çocuklu aileler için uygun, geniş odaları var."
